text,aspect_words,labels
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.",4GB of RAM,1
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,screen/video resolution,0
Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.,Hard disk,1
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,1
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",extended warranty,1
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,0
"The apple care has never failed me, and I expect it to be the same for this computer as well.",apple care,2
2.The wireless card is low quality.,wireless card,0
The sheer power and flexibility makes the MacBook Pro a must have for any techie!,power,2
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",windows 7,2
The program came with the computer and works beautifully.,program,2
"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,2
And having to deal with the company has been a even worse nightmare.,company,0
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",bootcamp,1
"I am most impressed with the programming, including the iPhoto.",programming,2
System is loosing about 20% of performance because of that.,performance,0
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,2
It has a lot of memory and a great battery life.,battery life,2
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,keyboard,0
I am ADDICTED to photo booth!,photo booth,2
I loaded windows 7 via Bootcamp and it works flawlessly!,windows 7,2
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",0
and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,2
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,0
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,0
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",applications,2
Good for every day computing and web browsing.,web browsing,2
Right size and weight for portability.,portability,2
" Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",drive,1
"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.",Windows 7,1
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,HDMI port,0
I love to write and play with graphics and html programming and my new Toshiba works great on both!,works,2
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",operating system,1
Its also FUN to use!,use,2
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",disk image,0
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,2
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",processor,2
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",buttons,1
"As a die-hard Windows enthusiast, I shunned the idea of a Mac until this point.",Windows,2
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,0
"Bigger HD, better graphics card, and a bid HD.",HD,2
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,0
The price and features more than met my needs.,features,2
"Despite the inconvenient weight, I opted for the 12 cell battery.",12 cell battery,2
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",OS,2
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,2
I have no idea how this could have even gotten past quality control during production.,quality control,0
"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.",DVD burner,0
It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,2
"the touch pad is fine - again, it's a real touch pad.",touch pad,2
It has just enough RAM to run smoothly and enough memory to satisfy my needs.,memory,2
"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",Mouse Cable,0
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",case,0
"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs,2
Good price.,price,2
"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.",video card,0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,2
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",ground loop isolator,1
You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,surfing the web,2
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,2
I am using the external speaker- sound is good.,external speaker,2
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",keyboard,2
"There is no cd drive on the computer, which defeats the purpose of keeping files on a cd.",cd drive,0
I was looking for a mac which is portable and has all the features that I was looking for.,features,2
although its windows vista compared to windows xp sucks.,windows xp,2
But other than that I am blown away by all the features this laptop offers.,features,2
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,2
I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.,warranty,2
"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer.",fan noise,0
 The screen almost looked like a barcode when it froze.,screen,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,2
But the arm velcro is torn after one use.,arm velcro,0
"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",simplicity,2
"Most everything is fine with this machine: speed, capacity, build.",speed,2
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",look,2
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,multiple page viewer,2
When I called Sony the Customer Service was Great.,Customer Service,2
"There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time.",programs,0
-I propose that I can just swap the hard drives.,hard drives,1
Keyboard good sized and wasy to use.,use,2
"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,2
The games included are very good games.,games,1
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,1
My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,battery life,0
The AMD Turin processor seems to always perform so much better than Intel.,Intel,0
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,2
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows 7 Home Premium,1
The paint wears off easily due to the keyboard being farther back than usual.,keyboard,0
iPhotos is an excellent program for storing and organizing photos.,iPhotos,2
"Info: Windows failed to load because the kernal is missing, or corrupt.",kernal,0
The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,desktop icons,0
pros:  the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.,battery life,2
The service I received from Toshiba went above and beyond the call of duty.,service,2
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,feature,2
Although i do believe that Windows operating system may be to fault for some of the problems.,Windows operating system,0
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",plate,0
The Internet Explorer was very slow from the very beginning.,Internet Explorer,0
"It is fast booting up , shutting down, and connection with the internet.",shutting down,2
I like how the Mac OS is so simple and easy to use.,Mac OS,2
Just a black screen!,screen,0
"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.",screen,0
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,2
Its good for playing my apps on Facebook or watching movies.,playing,2
Great laptop that offers many great features!,features,2
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,Cords,0
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",processor,2
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,0
Every driver on the drivers/applications DVD is everything you will need for a reload.,driver,2
PC never worked right even after BIOS fixed.,BIOS,0
"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.",loads,2
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",graphics chip,2
"As a user of a PC, I will will admit that the macBook Pro has a better running system in which I found myself ""Getting the job done quicker.",running system,2
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.,Mac version of Microsoft Office,2
"I have Vista, so I am unable to install and uninstall some programs.",uninstall ,0
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,1
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,2
"Love the graphics, awesome programs (including Garageband), and really cool default background.",programs,2
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,2
"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",hard drive,0
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,0
"Otherwise, all other features are a 1",features,1
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,0
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",17-inch screen,1
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,2
This laptop meets every expectation and Windows 7 is great!,Windows 7,2
The little battery that it did have would only last about an hour while just having it on the desktop.,battery,0
Enabling the battery timer is useless.,battery timer,0
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,2
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,0
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",ATI graphics card,2
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,Linux,1
Sometimes you really have to tap the pad to get it to worki,pad,0
It is so much easier to use,use,2
"Crisp screen, great battery life, and plenty of storage.",battery life,2
"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.",warranty,2
"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",my toshiba feature,2
"The difference is it's a whole lot of fun using the laptop now, still learning the Apple navigation, but is fun and comes with a lot of cool apps.",apps,2
The internet speed is spectacular.,internet speed,2
The resolution on the screen is almost pure HD.,resolution on the screen,2
Battery life needs more life.,Battery life,0
I'm really impressed with the quality and performance for the price of the computer.,performance,2
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",HD,2
The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,0
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",Windows,0
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,1
"It was heavy,bulky, and hard to carry because of the size.",size,0
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",speakers,2
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance,2
"The battery holds up well, it's built very solidly, and runs fast.",runs,2
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,Windows 7,1
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",touch-pad,1
 Dealing with the support drone on the other end of the chat was sheer torture.,support,0
In the first moth of owning this computer its hardrive failed which had to be replaced.,hardrive,0
The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.,battery life,0
Once I removed all the software the laptop loads in 15-20 seconds.,software,0
It's priced very reasonable and works very well right out of the box.,priced,2
 The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,0
It works exactly like it did the day I took it out of the box.,works,2
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,2
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,2
"I have Vista, so I am unable to install and uninstall some programs.",install,0
"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",cost,0
" Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,1
It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.,system memory,0
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,2
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows XP drivers,0
Love the stability of the Mac software and operating system.,Mac software,2
"In all honesty, if someone is looking for a quality laptop and willing to pay a little more money for a normal sized laptop than a cheaper and less impressive laptop, then do not buy this computer.",sized,1
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,2
"It is absolutely horrible to use, despite all its so called advanced features.",use,0
"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.",downloads,0
"InNovember my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.",Windows update,1
They should have included more memory on their computers if they knew Vista would run slowly.,Vista,0
Once I removed all the software the laptop loads in 15-20 seconds.,loads,1
Connecting to my wireless router via built-in wireless took no time at all.,built-in wireless,2
Because he said that the hinge is under the motherboard and they have to dismantle the whole thing before it can be tightened.,hinge,0
Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,0
"Aside from the trial software and the short battery life, lack of a webcam, its great.",trial software,0
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,2
The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,2
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",MacOSX,2
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",casing,0
"It has many great programs, such as ILife, iPhotos and others.",iPhotos,2
"The driver updates don't fix the issue, very frustrating.",driver updates,0
"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",screen,2
It works fine with our wireless and they've had not problems.,works,2
"Now,,,,,my monitor has been acting up for about 2 months.",monitor,0
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",graphics editing,1
The resolution is even higher then any other laptop on the market.,resolution,2
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,0
Love the stability of the Mac software and operating system.,stability,2
"It is easy to use, good quality and good price.",use,2
"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".",service,0
"Some problems can be fixed if you purchase new software, but there is no guarentee.",software,0
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life,2
The iLife software that comes with the computer is so simple to use and produces a great finished product.,use,2
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",set up,2
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,PROCESSING,2
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",Windows,0
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",features,2
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",keyboard,2
I had read online that some users were having sound problems.,sound,0
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,0
I use a cooling pad but it doesn't help.,cooling pad,0
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,1
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",extra features,2
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Mac Snow Leopard O/S,2
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Windows 7 Ultimate,0
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,2
I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,warranty,0
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,shut down,0
I bought this laptop and found its TAB is not functioning.,TAB,0
"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signals,2
Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.,speed,2
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Professional,1
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,0
"It is known as Safari, and if you are doing any website work, you should know that many hosting companies do not support it.",Safari,1
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications,2
Was very much worth the price i paid.,price,2
I can have both OSX and Windows XP running at the same time!,OSX,2
My main reason to convert was the imovie program.,imovie program,2
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,iphoto,2
"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).",Browsing,2
The Apple team also assists you very nicely when choosing which computer is right for you :),Apple team,2
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,0
The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,icon list,2
Is this partially due to the fact that it is running Windows Vista?,Windows Vista,1
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",screen,2
The graphics are stunning.,graphics,2
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office programs,1
this apple navigates you thru the unexplored world of the internet.,internet,1
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,0
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imail,2
"It even has a great webcam, and Skype works very well.",webcam,2
"Plain and simple, it(laptop) runs great and loads fast.",loads,2
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,0
"The price was very good, and the product is top quality.",price,2
My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.,work,0
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,2
" Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,1
"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",weight,2
So we exchanged it for the same on and after 2 hours it didn't work.,work,0
 I was also able to install and use my Photoshop and AfterEffects programs easily.,Photoshop,2
The trackpad was easy to learn and navigate.,trackpad,2
"I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most pc laptops.",iWork,0
"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",1
"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",Win 7,2
so the fact that the computer does not work on the 24 twenty fourth day is my fault.,work,0
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,1
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,0
This laptop is a great price and has a sleek look.,price,2
The one thing I wish it had was a detailed hardcopy manuel.,hardcopy manuel,0
"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow.",run,2
"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signal,0
"It is fast booting up , shutting down, and connection with the internet.",booting up,2
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,keyboard,0
The people there just changed for me on the spot and I got a new arm piece and they didn't even request for a receipt.,arm piece,2
"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.",service center,0
"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.",screen,0
They are by far the easiest systems to actually learn about computers with.,systems,2
Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,software,1
HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,cost,0
 The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,0
Wonderful zooming.,zooming,2
Was not happy with one of the programs on it.,one of the programs,0
"I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well.",memory,1
when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,return policy,0
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,computing,0
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",programs,2
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",Vista,0
I need graphic power to run my Adobe Creative apps efficiently.,Adobe Creative apps,1
the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,size,2
I take it everywhere with me because it's so easy to carry.,carry,2
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,Windows,1
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,2
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,patches,0
I dual boot with Linux and that other security-prone OS and it performs flawlessly.,performs,2
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",OpenOffice,1
"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",Apple support,2
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",creating presentations,2
"Waiting for the i7 was well worth it, great value for the price.",price,2
"Actually, I had noticed the one on the sales floor also didn't have sound!",sound,0
I love the operating system and the preloaded software.,preloaded software,2
